Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Afghanistan,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1600,49
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Algeria,<1000 ,<1000 , 1100,1100 ,<1000 , 1100,1200 ,1100 , 1300,1200 ,1200 , 1300,1300 ,1200 , 1400,1400 ,1300 , 1500,1300 ,1200 , 1400,1300 ,1200 , 1400,1300 ,1200 , 1400,29
Angola,26 000 ,21 000 , 32 000,27 000 ,22 000 , 33 000,28 000 ,22 000 , 34 000,28 000 ,22 000 , 34 000,27 000 ,22 000 , 33 000,27 000 ,21 000 , 34 000,28 000 ,22 000 , 35 000,29 000 ,22 000 , 36 000,28 000 ,21 000 , 36 000,6
Antigua and Barbuda,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Argentina,6400 ,5600 , 7100,6400 ,5600 , 7100,6400 ,5700 , 7200,6400 ,5700 , 7200,6500 ,5700 , 7300,6500 ,5700 , 7300,6500 ,5700 , 7300,6500 ,5800 , 7300,6500 ,5800 , 7300,2
Armenia,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,-22
Australia,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,1000 ,<1000 , 1100,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,8
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Bahamas,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-26
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
