Country,Most recent data as of 2018,Most recent data as of 2018_Footnote
Afghanistan,0.5,"Source: IBBS"
Albania,0.5,
Algeria,2.4,"Source: Rapport des Centres de Dépistage (CD) 2018"
Angola,2,"Source: Relatório do Estudo Place do Linkage 2016/2017 em 5 Províncias de Angola"
Argentina,15.7,
Armenia,1.9,"Source: Integrated Biological and Behavioral Survaillance Survey"
Australia,18.3,"Source: Gay Community Periodic Surveys"
Azerbaijan,1.1,"Source: National programme data, 2018"
Bahamas,19.6,"Source: Behavioral surveillance"
Bangladesh,0.2,"Source: Serological Survey, 2015 (unpublished)"
Barbados,2.8,"Source: Sentinel surveillance 2017"
Belarus,9.8,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Belgium,12.3,"Source: Sialon II survey, Brussels, 2013"
Belize,13.9,
Benin,7,"Source: Behavioural Surveillance Survey 2017"
Bolivia (Plurinational State of),25.4,"Source: Estudio de Vigilancia de Segunda Generación realizado con metodologia RDS."
Bosnia and Herzegovina,1.1,"Source: VCCT"
Botswana,14.8,"Source: Behavioral surveillance, 2018"
Brazil,18.3,
Bulgaria,3.7,"Source: Behavioral surveillance"
Burkina Faso,1.9,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST."
Burundi,4.8,"Source: Etude PLACE"
Cabo Verde,15,
Cambodia,2.3,"Source: IBBS 2015"
Cameroon,20.6,"Source: Enquête IBBS chez les MSM et les TS"
Canada,6.7,"Source: Workbook method of estimation reliyng on various surveys and literature reviews"
Central African Republic,6.1,"Source: National programme data 2017. CNRIST-TAR"
Chile,13.9,"Source: Estudio de prevalencia de VIH en personas HSH. "
China,6.9,"Source: National HIV sentinel surveillance"
Colombia,17,"Source: Estudio de seroprevalencia (corte transversal) anónimo-ligado, en siete ciudades de Colombia"
Comoros,0,
Congo,41.2,"Source: ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES, LES PROFESSIONNELLES DE SEXE, LES CONSOMMATEURS DE DROGUES INJECTABLES ET LES DETENUS EN REPUBLIQUE DU CONGO"
Costa Rica,15.4,"Source: Encuesta de Prevalencia 2017"
Croatia,2.8,"Source: Bozicevic et al: Prevalence of HIV and sexually transmitted infections among MSM in Zagrebm Sex Transm Infect. 2012 Nov;88(7):539-44. doi: 10.1136/sextrans-2011-050374. Epub 2012 May 24."
Cuba,1.1,"Source: ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Cyprus,2.5,
Czech Republic,4.8,
Côte d'Ivoire,12.3,"Source: Behavioural Surveillance Survey 2017"
Democratic Republic of the Congo,3.3,"Source: Rapport annuel PSSP 2016"
Denmark,5,"Source: ECDC 2017"
Dominican Republic,4,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serologica, en (05) Provincias (Santo Domingo, Santiago, Puerto Plata, Barahona y La Altagracia)"
Ecuador,16.5,"Source: Special Study 2017 lead by Corporació Kimirina"
Egypt,6.7,"Source: FHI&Freedom"
El Salvador,12,"Source: Sentinel surveillance 2018"
Estonia,5.5,"Source: EMIS 2017 (European MSM Internet Survey)"
Fiji,0.5,"Source: WHO WE ARE: An exploration of the sexual practices and HIV transmission risks of men who have sex with men and transgender populations in Fiji"
