Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.05,0.03 ,0.02 , 0.05,0.03 ,0.02 , 0.05,0.03 ,0.02 , 0.05,0.03 ,0.02 , 0.06,0.03 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.08,0.04 ,0.02 , 0.08,0.04 ,0.02 , 0.08
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,0.01 ,0.01 , 0.01,0.01 ,0.01 , 0.01,0.01 ,0.01 , 0.01,0.01 ,0.01 , 0.01,0.02 ,0.02 , 0.02,0.02 ,0.02 , 0.02,0.02 ,0.02 , 0.02,0.02 ,0.02 , 0.02,0.02 ,0.02 , 0.02,0.03 ,0.02 , 0.03,0.03 ,0.03 , 0.03,0.03 ,0.03 , 0.03,0.03 ,0.03 , 0.03,0.04 ,0.04 , 0.04,0.04 ,0.04 , 0.04,0.04 ,0.04 , 0.04,0.05 ,0.04 , 0.05,0.05 ,0.05 , 0.05,0.05 ,0.05 , 0.05,0.05 ,0.05 , 0.06,0.05 ,0.05 , 0.06,0.05 ,0.05 , 0.06,0.05 ,0.05 , 0.05,0.05 ,0.05 , 0.05
Angola,0.60 ,0.42 , 0.87,0.70 ,0.52 , 0.98,0.90 ,0.63 , 1.12,1.00 ,0.73 , 1.25,1.10 ,0.84 , 1.35,1.20 ,0.97 , 1.50,1.30 ,1.06 , 1.64,1.50 ,1.19 , 1.80,1.50 ,1.26 , 1.90,1.70 ,1.34 , 2.03,1.70 ,1.42 , 2.12,1.80 ,1.47 , 2.21,1.90 ,1.53 , 2.26,1.90 ,1.55 , 2.36,2.00 ,1.55 , 2.44,2.00 ,1.56 , 2.54,2.00 ,1.57 , 2.53,2.00 ,1.58 , 2.50,2.00 ,1.59 , 2.45,2.00 ,1.59 , 2.45,1.90 ,1.55 , 2.34,1.90 ,1.54 , 2.32,1.90 ,1.52 , 2.30,1.90 ,1.49 , 2.28,1.80 ,1.41 , 2.20,1.70 ,1.34 , 2.13,1.70 ,1.28 , 2.14,1.60 ,1.23 , 2.11,1.60 ,1.16 , 2.08
Antigua and Barbuda,0.41 ,0.36 , 0.43,0.43 ,0.39 , 0.46,0.46 ,0.41 , 0.48,0.49 ,0.44 , 0.51,0.51 ,0.47 , 0.54,0.54 ,0.50 , 0.57,0.57 ,0.53 , 0.60,0.61 ,0.56 , 0.63,0.64 ,0.59 , 0.67,0.67 ,0.63 , 0.70,0.71 ,0.66 , 0.73,0.74 ,0.70 , 0.77,0.78 ,0.74 , 0.81,0.81 ,0.77 , 0.84,0.85 ,0.81 , 0.88,0.89 ,0.85 , 0.92,0.92 ,0.88 , 0.96,0.96 ,0.92 , 1.00,0.97 ,0.93 , 1.02,0.94 ,0.90 , 0.99,0.87 ,0.83 , 0.92,0.82 ,0.79 , 0.88,0.82 ,0.79 , 0.88,0.84 ,0.80 , 0.91,0.87 ,0.82 , 0.94,0.89 ,0.85 , 0.97,0.92 ,0.87 , 1.01,0.94 ,0.89 , 1.04,0.97 ,0.91 , 1.08
Argentina,0.30 ,0.29 , 0.30,0.30 ,0.32 , 0.33,0.30 ,0.34 , 0.35,0.40 ,0.35 , 0.35,0.40 ,0.35 , 0.36,0.40 ,0.35 , 0.35,0.30 ,0.34 , 0.35,0.30 ,0.34 , 0.34,0.30 ,0.33 , 0.33,0.30 ,0.31 , 0.32,0.30 ,0.31 , 0.31,0.30 ,0.30 , 0.30,0.30 ,0.30 , 0.30,0.30 ,0.29 , 0.30,0.30 ,0.29 , 0.29,0.30 ,0.29 , 0.29,0.30 ,0.29 , 0.29,0.30 ,0.29 , 0.29,0.30 ,0.28 , 0.29,0.30 ,0.28 , 0.29,0.30 ,0.28 , 0.29,0.30 ,0.28 , 0.28,0.30 ,0.28 , 0.28,0.30 ,0.28 , 0.28,0.30 ,0.28 , 0.28,0.30 ,0.27 , 0.28,0.30 ,0.27 , 0.28,0.30 ,0.27 , 0.27,0.30 ,0.27 , 0.27
Armenia,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.03,<0.01 ,<0.01 , 0.05,<0.01 ,0.01 , 0.06,<0.01 ,0.02 , 0.09,0.10 ,0.04 , 0.13,0.10 ,0.06 , 0.17,0.10 ,0.08 , 0.22,0.20 ,0.12 , 0.27,0.20 ,0.15 , 0.29,0.20 ,0.18 , 0.32,0.30 ,0.20 , 0.33,0.30 ,0.21 , 0.33,0.30 ,0.21 , 0.31,0.20 ,0.19 , 0.29,0.20 ,0.17 , 0.25,0.20 ,0.15 , 0.21,0.20 ,0.12 , 0.19,0.10 ,0.10 , 0.16,0.10 ,0.09 , 0.14,0.10 ,0.08 , 0.13,0.10 ,0.08 , 0.13,0.10 ,0.08 , 0.15,0.10 ,0.08 , 0.15,0.10 ,0.08 , 0.16,0.10 ,0.07 , 0.17,0.10 ,0.07 , 0.18
Australia,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08,0.08 ,0.08 , 0.08
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
