Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,... ,... , ...,... ,... , ...,37 ,21 , 58,38 ,21 , 60
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,86 ,80 , 92,86 ,80 , 91,86 ,81 , 92,86 ,81 , 92
Angola,36 ,31 , 42,36 ,32 , 42,39 ,34 , 46,42 ,36 , 50
Antigua and Barbuda,,,,,,,,,,... ,... , ...
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,52 ,44 , 62,57 ,49 , 69,65 ,54 , 78,73 ,61 , 90
Australia,90 ,77 , >95,91 ,77 , >95,92 ,78 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,31 ,27 , 36,32 ,28 , 37,36 ,32 , 41,37 ,32 , 42
Barbados,71 ,63 , 79,71 ,63 , 80,70 ,61 , 78,... ,... , ...
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,79 ,65 , >95
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,52 ,47 , 57,52 ,48 , 58,53 ,48 , 58,49 ,44 , 53
Benin,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bhutan,35 ,18 , 71,39 ,21 , 77,44 ,23 , 90,47 ,25 , >95
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,86 ,77 , 92,87 ,78 , 93,88 ,79 , 95,91 ,82 , >95
Brazil,79 ,61 , >95,83 ,64 , >95,84 ,65 , >95,85 ,66 , >95
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,82 ,73 , 91,82 ,73 , 92,81 ,71 , 93,83 ,71 , >95
Burkina Faso,57 ,47 , 69,60 ,49 , 72,65 ,53 , 79,70 ,57 , 85
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,84 ,72 , >95,89 ,76 , >95,91 ,77 , >95,>95 ,81 , >95
Cambodia,76 ,67 , 88,79 ,68 , 90,80 ,69 , 91,82 ,71 , 93
Cameroon,64 ,56 , 70,68 ,59 , 73,71 ,62 , 77,74 ,65 , 81
Canada,... ,... , ...,86 ,75 , >95,... ,... , ...,... ,... , ...
Central African Republic,48 ,40 , 58,50 ,41 , 61,52 ,44 , 65,55 ,46 , 69
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,56 ,27 , >95,66 ,33 , >95,83 ,41 , >95,86 ,43 , >95
Congo,37 ,30 , 45,38 ,30 , 47,38 ,30 , 49,39 ,30 , 51
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,72 ,65 , 80,75 ,68 , 84,79 ,70 , 87,... ,... , ...
Cuba,75 ,58 , 90,77 ,59 , 92,80 ,61 , >95,83 ,64 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,72 ,62 , 83,... ,... , ...,61 ,51 , 69
Côte d'Ivoire,48 ,38 , 60,52 ,41 , 66,56 ,45 , 71,63 ,50 , 80
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,32 ,26 , 36,38 ,31 , 44,48 ,39 , 56,62 ,51 , 73
Denmark,... ,... , ...,90 ,81 , >95,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Dominica,,,,... ,... , ...,... ,... , ...,... ,... , ...
